sellprice,year,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl),engine(CC),maxpower(bhp),seats
0.181,2011,70000,Petrol,Individual,Manual,First Owner,15.64,1193,15.64,5
0.254999,2011,120000,Diesel,Individual,Manual,Third Owner,22.07,1199,73.9,5
0.085,2004,110000,Petrol,Individual,Manual,First Owner,18.9,998,18.9,5
0.114999,2011,10000,Petrol,Individual,Manual,First Owner,19.7,796,19.7,5
0.75,2016,86000,Diesel,Individual,Manual,Third Owner,26,1498,98.6,5
0.779,2019,7032,Petrol,Dealer,Automatic,First Owner,19,1199,88.76,5
0.53,2014,90000,Diesel,Individual,Manual,First Owner,22.9,1248,74,5
0.61,2015,50000,Diesel,Individual,Manual,Second Owner,21.19,1396,88.73,5
0.85,2015,100000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
0.625,2018,10000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
0.245,2010,86000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5
0.65,2019,5621,Petrol,Dealer,Automatic,First Owner,22,1197,81.8,5
0.325,2016,20000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
0.65,2015,110000,Diesel,Individual,Manual,Second Owner,22.77,1498,98.59,5
0.4,2014,90000,Petrol,Individual,Manual,Second Owner,18.9,1197,82,5
0.631,2016,92385,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
0.95,2015,190000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7
0.525,2019,20000,Petrol,Individual,Automatic,First Owner,20.89,1197,81.8,5
0.265,2012,67000,Diesel,Individual,Manual,Second Owner,23.08,1461,63.12,5
0.434999,2015,40000,Petrol,Dealer,Manual,First Owner,18.9,1197,82,5
0.12,2008,80000,Petrol,Individual,Manual,Third Owner,19.7,796,19.7,5
0.099,1994,100000,Diesel,Individual,Manual,Second Owner,12.8,1995,12.8,5
0.65,2017,80000,Petrol,Individual,Manual,Second Owner,17.19,1197,81.86,5
0.65,2018,6000,Petrol,Individual,Manual,First Owner,18.15,1198,82,6
0.18,2012,70000,Petrol,Individual,Manual,First Owner,17.92,1086,17.92,5
0.285,2015,70000,Diesel,Individual,Manual,First Owner,19.1,1405,70,5
0.754,2017,40000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
0.55,2011,80000,Diesel,Individual,Manual,Second Owner,12.05,2179,120,9
0.475,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5
0.725,2017,50000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
0.38,2014,70000,Diesel,Individual,Manual,Second Owner,23.4,1248,74,5
0.58,2015,90000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,5
0.45,2017,56290,Diesel,Dealer,Manual,First Owner,24,1186,73.97,5
